frame_no,detection_no,class,x,y,width,height,confidence
11,26,person,1707.3,164.4,58.6,142.1,0.3714
11,27,person,848.1,62.7,44.7,132.3,0.2911
11,28,frisbee,1729.8,510.2,46.5,23.2,0.2865
11,29,person,1094.0,56.9,42.3,104.3,0.2546
12,1,person,674.0,594.4,77.6,200.2,0.8438
12,2,person,1383.4,709.3,108.5,177.5,0.8149
12,3,person,54.5,811.6,99.3,174.9,0.8734
12,4,person,1115.8,878.3,134.7,194.4,0.8659
12,5,person,1142.4,471.4,71.2,144.9,0.7287
12,6,person,753.4,414.8,65.8,164.3,0.7651
12,7,person,1464.7,352.4,70.6,166.9,0.7071
12,8,person,247.4,472.6,78.2,177.0,0.7968
12,9,person,1477.8,504.5,81.7,174.7,0.7232
12,10,person,923.9,189.2,57.8,134.9,0.6081
12,11,person,570.6,280.7,61.6,147.6,0.6377
12,12,person,709.5,212.2,60.2,149.6,0.5903
12,13,person,93.4,130.1,51.3,118.0,0.6139
12,14,person,1798.7,158.9,58.2,126.9,0.4750
12,15,person,345.7,491.0,58.7,148.4,0.4748
12,16,person,384.1,505.4,72.3,162.2,0.5144
12,17,person,1173.3,127.8,43.8,128.2,0.3601
12,18,person,1837.2,641.3,82.8,196.5,0.7248
12,19,person,1202.5,108.4,50.6,140.6,0.3000
12,20,person,991.0,118.0,51.8,138.5,0.5600
12,21,person,234.0,25.1,62.3,119.0,0.2902
12,22,person,796.1,69.0,49.3,128.5,0.4091
12,23,person,574.9,218.0,47.6,93.2,0.4183
12,24,person,904.9,74.4,40.9,120.9,0.3503
12,25,handbag,675.1,691.7,23.5,65.0,0.4217
12,26,person,1707.7,164.3,58.6,141.7,0.3014
12,27,person,847.4,62.9,44.5,132.0,0.3162
12,28,frisbee,1635.0,358.1,39.4,18.8,0.5591
12,29,handbag,985.4,167.3,32.7,41.2,0.3147
12,30,person,452.8,510.2,58.7,131.3,0.3405
12,31,frisbee,1729.6,509.9,46.0,23.1,0.2676
13,1,person,673.5,588.4,77.0,199.0,0.8382
13,2,person,1379.3,710.1,105.9,176.2,0.8128
13,3,person,61.0,814.5,99.8,171.9,0.8895
13,4,person,1112.0,871.7,135.5,200.6,0.8603
13,5,person,1142.3,466.1,72.3,148.6,0.7132
13,6,person,753.3,410.6,65.2,164.6,0.7292
13,7,person,1467.0,355.4,70.4,166.2,0.7312
13,8,person,246.1,477.4,78.7,177.7,0.8097
13,9,person,1479.6,510.0,82.5,176.6,0.7364
13,10,person,923.3,190.5,57.6,135.5,0.6534
13,11,person,570.3,282.6,62.2,149.6,0.6646
13,12,person,709.8,207.3,59.5,147.9,0.6398
13,13,person,92.5,129.4,51.2,118.1,0.5796
13,14,person,1800.4,160.6,58.5,127.6,0.5610
13,15,person,344.6,490.4,59.2,148.5,0.5324
13,16,person,384.2,504.1,72.1,162.1,0.4814
13,17,person,1173.0,125.5,44.5,128.5,0.4007
13,18,person,1835.1,636.3,84.9,200.7,0.7420
13,19,person,1202.9,105.7,49.5,137.8,0.2578
13,20,person,990.8,118.3,51.8,137.3,0.6252
13,21,person,237.5,21.9,62.2,119.3,0.3276
13,22,person,795.7,67.7,48.3,128.2,0.3619
13,23,person,575.4,218.8,48.2,94.4,0.3962
13,24,person,905.4,73.7,40.4,119.3,0.2539
13,25,handbag,674.9,684.5,24.4,67.4,0.4355
13,26,person,1709.5,167.1,57.2,137.5,0.2617
13,27,person,847.7,62.2,44.1,131.2,0.3375
13,28,frisbee,1635.4,357.9,38.2,18.2,0.3443
13,29,handbag,985.1,167.3,33.0,41.6,0.3211
14,1,person,673.1,582.9,76.8,199.2,0.8574
14,2,person,1376.8,710.4,103.4,175.4,0.7556
14,3,person,64.7,815.8,101.2,169.9,0.8971
14,4,person,1109.3,866.2,136.0,206.9,0.8424
14,5,person,1142.8,462.7,72.1,149.4,0.6754
14,6,person,753.0,406.8,65.2,166.1,0.7758
14,7,person,1469.7,357.7,70.0,164.9,0.7785
14,8,person,245.5,480.2,78.5,176.7,0.8342
14,9,person,1481.8,515.2,82.4,176.5,0.7598
14,10,person,922.7,192.4,58.4,138.4,0.6005
14,11,person,570.1,284.0,62.5,151.2,0.6956
14,12,person,709.9,203.5,58.4,145.3,0.5748
14,13,person,92.4,129.5,50.9,117.5,0.6069
14,14,person,1801.3,163.5,59.3,129.5,0.5627
14,15,person,344.0,490.2,59.6,148.4,0.5756
14,16,person,382.1,494.3,75.7,171.9,0.4593
14,17,person,1172.4,124.6,45.1,129.1,0.4060
14,18,person,1833.9,634.3,86.1,200.9,0.7294
14,19,person,1203.0,103.5,48.7,135.9,0.2651
14,20,person,991.1,118.4,52.0,137.5,0.6177
14,21,person,239.7,19.1,62.2,120.3,0.3679
14,22,person,795.8,67.4,47.2,127.7,0.3622
14,23,person,576.0,219.6,48.5,94.7,0.4632
14,24,person,905.8,71.2,40.7,120.8,0.3574
14,25,person,1710.8,171.5,57.3,136.9,0.3850
14,26,person,848.0,61.9,43.7,130.5,0.3434
