frame_no,detection_no,class,x,y,width,height,confidence
181,1,person,77.1,145.8,431.7,333.8,0.8942
181,2,cell phone,248.3,300.2,107.6,155.5,0.3299
181,3,chair,68.9,328.6,121.1,146.3,0.3013
182,1,person,78.8,145.8,432.3,333.8,0.8876
182,2,cell phone,244.2,301.5,106.0,157.0,0.5122
182,3,chair,68.9,328.6,122.6,148.1,0.2973
183,1,person,81.9,145.7,432.6,333.8,0.9126
183,2,cell phone,238.3,302.6,106.0,159.5,0.6352
183,3,chair,68.5,328.5,122.1,147.7,0.2522
184,1,person,82.6,145.5,433.3,333.9,0.9187
184,2,cell phone,243.4,302.5,106.3,158.5,0.5045
184,3,chair,68.1,328.6,123.4,149.3,0.3522
185,1,person,83.5,145.6,433.3,333.7,0.9202
185,2,cell phone,240.9,304.4,104.0,157.4,0.5746
185,3,chair,68.6,328.5,123.5,149.4,0.3375
186,1,person,84.4,145.7,433.2,333.7,0.9146
186,2,cell phone,246.0,304.7,103.7,156.7,0.5293
186,3,chair,68.4,328.8,123.4,149.2,0.3613
187,1,person,81.5,145.6,434.2,333.7,0.9046
187,2,cell phone,253.5,306.0,105.3,157.8,0.4615
187,3,chair,41.3,328.4,130.9,151.1,0.4496
187,4,cup,250.6,306.2,117.1,153.4,0.4222
188,1,person,75.0,145.3,432.7,334.0,0.8515
188,2,chair,56.3,328.7,129.6,150.4,0.3783
188,3,cup,248.1,306.0,121.1,158.8,0.4613
189,1,person,79.6,145.7,432.5,333.6,0.8892
189,2,chair,36.0,329.2,135.5,150.6,0.3528
189,3,cell phone,250.4,300.4,117.0,152.8,0.2550
190,1,person,82.2,145.8,432.4,333.6,0.8974
190,2,chair,53.7,329.0,133.0,148.9,0.4306
191,1,person,83.7,145.9,432.2,333.5,0.9088
191,2,chair,60.9,328.9,132.2,149.1,0.4464
192,1,person,85.4,145.9,431.9,333.5,0.9067
192,2,chair,63.7,329.0,131.2,148.8,0.4140
193,1,person,83.5,146.0,432.3,333.3,0.9021
193,2,chair,64.6,329.2,130.9,149.5,0.3449
193,3,cup,253.4,297.6,127.2,167.4,0.3818
194,1,person,86.0,146.0,431.7,333.2,0.8965
194,2,chair,65.7,329.0,129.8,149.1,0.4202
194,3,cup,259.1,297.5,119.8,158.3,0.3992
195,1,person,83.7,145.9,432.3,333.3,0.9073
195,2,chair,66.2,328.9,128.9,148.8,0.4515
195,3,cup,255.4,297.3,124.9,166.2,0.3457
196,1,person,83.0,145.9,432.5,333.3,0.9044
196,2,chair,66.7,328.8,128.1,148.4,0.4752
196,3,cup,255.2,297.3,124.8,167.1,0.3610
197,1,person,81.3,146.0,433.1,333.3,0.8963
197,2,chair,67.1,328.8,127.4,148.1,0.4868
197,3,cup,256.0,297.3,125.3,169.3,0.2600
198,1,person,83.6,145.9,432.9,333.4,0.9064
198,2,chair,67.0,328.8,127.2,148.4,0.3220
198,3,cup,257.1,297.1,123.6,168.4,0.4547
199,1,person,82.7,146.1,433.1,333.1,0.8935
199,2,chair,66.7,328.5,127.6,149.5,0.4406
200,1,person,85.1,146.9,433.9,332.5,0.8896
200,2,chair,66.8,328.9,126.9,149.1,0.3942
201,1,person,86.7,146.7,435.1,333.1,0.9147
201,2,chair,66.8,329.1,127.1,149.8,0.4830
202,1,person,84.5,146.2,437.0,333.7,0.7864
202,2,chair,66.6,329.1,126.7,149.8,0.5433
203,1,person,87.4,148.2,434.7,331.6,0.7898
203,2,chair,66.0,329.2,126.5,150.2,0.2969
203,3,cup,231.0,231.3,126.9,165.8,0.7315
204,1,person,90.4,147.5,434.8,332.1,0.8197
204,2,chair,67.0,329.0,125.7,149.5,0.4031
204,3,cup,221.8,222.4,133.5,169.1,0.3935
205,1,person,90.5,146.6,435.5,333.0,0.8401
205,2,chair,67.1,329.0,125.4,149.5,0.3985
205,3,cup,215.7,219.8,138.3,169.9,0.6157
206,1,person,88.4,145.7,436.2,333.9,0.8624
206,2,chair,65.7,329.0,123.7,148.4,0.3563
206,3,cup,202.3,222.3,150.1,180.3,0.4926
207,1,person,87.1,145.6,436.3,334.0,0.8710
207,2,chair,65.1,329.1,121.5,146.7,0.2793
207,3,cup,194.8,223.6,158.7,187.2,0.6117
208,1,person,89.0,145.0,436.2,334.6,0.8377
208,2,chair,65.6,328.9,122.2,148.4,0.4143
208,3,cup,193.1,223.2,163.8,190.6,0.3622
209,1,person,88.2,144.7,436.1,334.9,0.8075
209,2,chair,65.7,328.5,121.9,148.6,0.3430
209,3,cup,193.4,222.3,166.8,191.6,0.2798
210,1,person,88.3,145.3,435.0,334.4,0.7787
210,2,chair,67.8,329.0,122.3,149.0,0.4095
211,1,person,86.4,144.6,435.9,335.1,0.7616
211,2,chair,68.1,328.7,122.5,149.5,0.4026
212,1,person,85.1,144.2,436.4,335.5,0.8059
212,2,chair,68.2,328.5,122.9,150.1,0.3172
213,1,person,84.9,144.9,435.7,334.8,0.8317
213,2,chair,68.0,328.8,123.4,150.8,0.4003
214,1,person,86.5,146.1,434.2,333.6,0.8054
214,2,chair,68.2,329.0,122.8,150.0,0.3599
214,3,cup,204.8,214.8,163.8,187.2,0.2797
215,1,person,83.6,146.5,434.6,333.3,0.8093
215,2,chair,67.5,328.9,122.7,149.9,0.2879
215,3,cup,208.0,216.8,160.8,183.0,0.2898
216,1,person,85.6,147.0,433.8,332.8,0.8432
216,2,chair,67.5,328.7,122.2,149.5,0.3438
216,3,cup,205.5,217.8,163.2,185.0,0.2595
217,1,person,86.3,146.3,434.4,333.4,0.7999
217,2,chair,67.1,328.5,121.2,148.6,0.3153
217,3,cup,201.0,218.1,165.8,186.2,0.3259
218,1,person,86.2,146.7,434.0,333.2,0.8262
218,2,chair,67.5,328.5,121.5,149.3,0.4496
218,3,cup,202.0,218.7,167.2,187.6,0.3409
219,1,person,85.5,146.6,434.2,333.2,0.7851
219,2,chair,67.6,328.6,121.0,149.0,0.3386
219,3,cup,198.9,219.2,171.5,192.4,0.3212
220,1,person,87.5,147.0,433.4,332.8,0.8218
220,2,cup,197.3,219.8,170.2,189.5,0.4262
221,1,person,86.9,147.4,432.9,332.4,0.8080
221,2,chair,67.5,328.7,122.0,150.6,0.2844
222,1,person,86.3,147.4,433.3,332.4,0.8005
222,2,chair,68.2,328.8,121.1,149.8,0.2838
222,3,cup,205.0,220.3,167.0,186.9,0.3414
223,1,person,84.3,146.0,435.4,333.9,0.7638
223,2,cup,198.1,220.6,171.8,191.5,0.4318
224,1,person,85.1,146.6,434.5,333.1,0.7570
224,2,cup,198.4,220.5,171.5,190.7,0.3015
224,3,chair,68.1,329.0,120.0,148.5,0.3182
225,1,person,84.4,146.0,435.3,333.8,0.7835
225,2,chair,67.9,328.8,120.9,149.8,0.3376
226,1,person,84.2,146.1,435.2,333.7,0.8142
226,2,chair,68.7,328.8,120.0,148.7,0.2627
227,1,person,84.5,146.0,435.3,333.8,0.7949
228,1,person,83.5,145.8,435.9,334.0,0.8183
228,2,chair,68.5,329.0,120.6,149.4,0.3340
229,1,person,81.8,144.4,437.8,335.4,0.7235
229,2,chair,68.8,329.0,120.4,149.1,0.2582
230,1,person,83.6,145.5,436.3,334.3,0.8179
230,2,chair,69.0,329.0,120.6,149.4,0.4082
230,3,cup,201.1,219.9,167.4,184.8,0.2606
231,1,person,84.7,145.7,435.8,334.0,0.7583
231,2,cup,200.4,220.6,170.7,188.5,0.3593
232,1,person,85.2,145.8,435.5,333.9,0.7583
232,2,cup,200.2,220.8,171.7,189.7,0.3593
233,1,person,86.8,145.5,435.2,334.3,0.7616
233,2,cup,200.8,221.9,171.9,190.4,0.3643
233,3,chair,34.7,328.8,129.5,150.9,0.4398
234,1,person,86.1,144.9,435.7,334.8,0.6781
234,2,cup,195.6,222.0,176.8,196.1,0.6264
235,1,person,87.7,145.1,434.7,334.6,0.7643
235,2,cup,203.8,222.4,170.0,189.4,0.4036
235,3,chair,57.3,328.9,127.6,150.0,0.3799
236,1,person,86.2,145.4,434.4,334.5,0.7427
236,2,cup,198.6,222.6,172.9,192.2,0.3603
236,3,chair,62.2,328.5,126.4,149.5,0.2695
237,1,person,88.1,145.7,433.6,334.0,0.6023
237,2,cup,193.2,224.0,177.1,196.5,0.5681
237,3,chair,64.8,328.6,124.6,148.3,0.3576
238,1,person,91.3,145.3,433.1,334.4,0.7530
238,2,chair,66.0,328.8,124.1,148.5,0.3266
239,1,person,91.1,145.7,432.2,333.9,0.7209
240,1,person,85.1,145.5,434.2,334.1,0.8881
240,2,chair,66.9,329.0,125.1,150.4,0.3103
