frame_no,detection_no,class,x,y,width,height,confidence
9,14,person,226,30,58,115,0.5813
9,15,person,709,217,58,148,0.5696
9,16,person,722,0,46,92,0.5645
9,17,person,925,188,53,135,0.5536
9,18,person,799,71,39,120,0.5278
9,19,person,92,127,51,121,0.5253
9,20,person,1206,114,46,137,0.5125
9,21,person,571,280,59,133,0.4954
9,22,person,1171,139,47,119,0.4837
9,23,person,1590,18,38,105,0.4800
9,24,person,853,64,37,128,0.4746
9,25,person,902,81,41,119,0.4598
9,26,person,1387,0,55,180,0.4415
9,27,person,1302,4,41,101,0.4335
9,28,person,344,491,54,141,0.4117
9,29,person,44,808,101,180,0.3897
9,30,person,1693,165,74,142,0.3830
9,31,person,170,0,22,36,0.3704
9,32,person,368,2,53,122,0.3668
9,33,person,984,112,57,140,0.3477
9,34,person,388,513,69,155,0.3198
9,35,bird,46,809,98,181,0.2920
9,36,person,452,509,62,129,0.2856
9,37,person,1898,105,20,94,0.2593
10,1,person,1137,889,101,187,0.8334
10,2,person,675,601,74,193,0.8147
10,3,person,245,464,81,175,0.7662
10,4,person,1463,344,69,161,0.7649
10,5,person,1795,154,65,130,0.6673
10,6,bird,1141,474,71,137,0.6632
10,7,person,755,418,60,158,0.6576
10,8,person,1397,707,98,178,0.6410
10,9,person,571,278,60,140,0.6312
10,10,person,1850,648,69,191,0.6238
10,11,person,1620,17,40,109,0.5950
10,12,person,723,0,44,92,0.5880
10,13,person,925,189,54,134,0.5858
10,14,person,1091,53,45,103,0.5785
10,15,person,799,71,39,120,0.5694
10,16,person,1677,13,58,136,0.5661
10,17,person,1474,495,83,170,0.5420
10,18,person,93,126,50,122,0.5221
10,19,person,902,81,41,115,0.5158
10,20,person,853,64,37,129,0.5107
10,21,person,228,29,61,115,0.4766
10,22,person,367,5,56,120,0.4698
10,23,person,710,217,57,147,0.4675
10,24,person,1207,111,45,136,0.4596
10,25,person,985,113,58,140,0.4560
10,26,bird,47,810,102,180,0.4444
10,27,person,1694,89,92,214,0.4371
10,28,person,1591,18,36,105,0.4299
10,29,person,1387,0,55,180,0.4214
10,30,person,344,491,56,145,0.4203
10,31,person,1171,138,49,119,0.4181
10,32,person,1697,159,71,146,0.3814
10,33,person,46,809,104,180,0.3497
10,34,person,172,0,20,36,0.3444
10,35,person,1301,3,42,101,0.3442
10,36,person,228,27,59,69,0.3342
10,37,person,389,513,68,155,0.3234
10,38,person,453,508,61,130,0.2960
11,1,person,675,598,75,196,0.8247
11,2,person,1135,885,100,186,0.7921
11,3,person,1462,346,71,164,0.7772
11,4,person,245,466,81,178,0.7521
11,5,person,1395,708,98,177,0.7328
11,6,person,1848,646,71,192,0.7042
11,7,person,1795,156,66,131,0.6702
11,8,person,755,415,58,160,0.6448
11,9,person,722,0,46,91,0.6353
11,10,person,926,190,53,132,0.6006
11,11,person,1620,17,40,108,0.5839
11,12,person,569,289,62,136,0.5685
11,13,person,1091,53,47,103,0.5606
11,14,person,94,128,49,120,0.5516
11,15,person,1679,13,56,137,0.5408
11,16,person,231,25,62,118,0.5198
11,17,person,710,216,56,145,0.5083
11,18,person,1474,502,84,170,0.4832
11,19,person,1141,474,71,140,0.4824
11,20,person,798,70,39,124,0.4747
11,21,person,344,490,53,140,0.4723
11,22,bird,48,811,104,178,0.4717
11,23,person,371,5,54,120,0.4607
11,24,person,1207,108,45,136,0.4436
11,25,person,853,62,37,130,0.4333
11,26,person,904,84,39,111,0.4326
11,27,person,984,114,59,141,0.4175
11,28,person,1592,18,36,105,0.4122
11,29,person,1171,136,47,117,0.4075
11,30,person,1695,93,91,210,0.3903
11,31,person,1386,1,56,179,0.3847
11,32,person,389,497,67,171,0.3810
11,33,person,230,26,61,68,0.3612
11,34,person,174,0,20,37,0.3539
11,35,person,454,508,60,130,0.3187
11,36,person,1302,3,40,100,0.2982
11,37,person,47,811,106,177,0.2950
12,1,person,675,595,75,198,0.8360
12,2,person,1134,880,97,192,0.8133
12,3,person,1394,709,91,177,0.7531
12,4,person,1848,645,70,192,0.7524
12,5,person,245,470,80,177,0.7464
12,6,person,1462,351,73,166,0.7405
12,7,person,1796,157,65,130,0.7042
12,8,person,925,191,54,131,0.6849
12,9,person,373,4,52,118,0.6057
12,10,person,1620,17,41,107,0.6049
12,11,person,754,414,58,161,0.6031
12,12,person,568,292,63,135,0.5995
12,13,person,1090,52,48,103,0.5938
12,14,person,722,0,45,90,0.5834
